호선,역,시간(sec)
1,소요산,
1,동두천,120
1,보산,120
1,동두천중앙,120
1,지행,120
1,덕정,300
1,덕계,180
1,양주,240
1,녹양,120
1,가능,60
1,의정부,120
1,회룡,120
1,망월사,120
1,도봉산,180
1,도봉,120
1,방학,120
1,창동,120
1,녹천,60
1,월계,120
1,광운대,120
1,석계,120
1,신이문,120
1,외대앞,60
1,회기,120
1,청량리,180
1,제기동,120
1,신설동,120
1,동묘앞,120
1,동대문,120
1,종로5가,240
1,종로3가,120
1,종각,60
1,시청,120
1,서울역,120
1,남영,120
1,용산,120
1,노량진,180
1,대방,120
1,신길,60
1,영등포,120
1,신도림,120
1,구로,120
1,구일,120
1,개봉,120
1,오류동,120
1,온수,120
1,역곡,60
1,소사,120
1,부천,120
1,중동,120
1,송내,60
1,부개,60
1,부평,120
1,백운,120
1,동암,120
1,간석,120
1,주안,60
1,도화,60
1,제물포,60
1,도원,60
1,동인천,60
1,인천,180
1,구로,
1,가산디지털단지,240
1,독산,120
1,금천구청,120
1,석수,180
1,관악,120
1,안양,120
1,명학,120
1,금정,120
1,군포,180
1,당정,60
1,의왕,120
1,성균관대,180
1,화서,180
1,수원,180
1,세류,180
1,병점,240
1,세마,120
1,오산대,120
1,오산,180
1,진위,180
1,송탄,180
1,서정리,120
1,지제,240
1,평택,240
1,성환,420
1,직산,240
1,두정,240
1,천안,240
1,봉명,120
1,쌍용,120
1,아산,120
1,탕정,120
1,배방,180
1,온양온천,240
1,신창,240
2,뚝섬,60
2,한양대,90
2,왕십리,90
2,상왕십리,60
2,신당,60
2,동대문역사문화공원,90
2,을지로4가,90
2,을지로3가,60
2,을지로입구,60
2,시청,90
2,충정로,90
2,아현,90
2,이대,60
2,신촌,60
2,홍대입구,120
2,합정,90
2,당산,150
2,영등포구청,90
2,문래,60
2,신도림,120
2,대림,150
2,구로디지털단지,90
2,신대방,90
2,신림,120
2,봉천,90
2,서울대입구,60
2,낙성대,90
2,사당,120
2,방배,150
2,서초,120
2,교대,60
2,강남,90
2,역삼,60
2,선릉,90
2,삼성,90
2,종합운동장,90
2,잠실새내,90
2,잠실,90
2,잠실나루,90
2,강변,120
2,구의,60
2,건대입구,120
2,성수,90
3,대화,
3,주엽,120
3,정발산,120
3,마두,60
3,백석,120
3,대곡,180
3,화정,120
3,원당,180
3,원흥,180
3,삼송,120
3,지축,120
3,구파발,150
3,연신내,150
3,불광,120
3,녹번,90
3,홍제,120
3,무악재,90
3,독립문,90
3,경복궁,120
3,안국,90
3,종로3가,120
3,을지로3가,60
3,충무로,60
3,동대입구,90
3,약수,90
3,금호,60
3,옥수,60
3,압구정,150
3,신사,120
3,잠원,60
3,고속터미널,90
3,교대,120
3,남부터미널,90
3,양재,120
3,매봉,90
3,도곡,60
3,대치,60
3,학여울,60
3,대청,90
3,일원,90
3,수서,120
3,가락시장,120
3,경찰병원,60
3,오금,90
4,진접,
4,오남,180
4,별내별가람,150
4,당고개,390
4,상계,270
4,노원,150
4,창동,90
4,쌍문,90
4,수유,120
4,미아,120
4,미아사거리,90
4,길음,120
4,성신여대입구,120
4,한성대입구,120
4,혜화,90
4,동대문,90
4,동대문역사문화공원,120
4,충무로,60
4,명동,120
4,회현,60
4,서울역,60
4,숙대입구,90
4,삼각지,90
4,신용산,90
4,이촌,60
4,동작,120
4,이수,180
4,사당,150
4,남태령,90
4,선바위,120
4,경마공원,180
4,대공원,120
4,과천,120
4,정부과천청사,120
4,인덕원,120
4,평촌,180
4,범계,120
4,금정,120
4,산본,180
4,수리산,240
4,대야미,120
4,반월,180
4,상록수,120
4,한대앞,180
4,중앙,60
4,고잔,120
4,초지,120
4,안산,120
4,신길온천,120
4,정왕,180
4,오이도,120
5,방화,
5,개화산,60
5,김포공항,90
5,송정,100
5,마곡,130
5,발산,90
5,우장산,100
5,화곡,90
5,까치산,90
5,신정,90
5,목동,110
5,오목교,70
5,양평,80
5,영등포구청,80
5,영등포시장,70
5,신길,70
5,여의도,90
5,여의나루,90
5,마포,80
5,공덕,120
5,애오개,70
5,충정로,80
5,서대문,80
5,광화문,60
5,종로3가,90
5,을지로4가,100
5,동대문역사문화공원,100
5,청구,90
5,신금호,80
5,행당,90
5,왕십리,80
5,마장,70
5,답십리,60
5,장한평,100
5,군자,100
5,아차산,100
5,광나루,90
5,천호,110
5,강동,130
5,길동,70
5,굽은다리,90
5,명일,70
5,고덕,70
5,상일동,100
5,강일,100
5,미사,70
5,하남풍산,110
5,하남시청,150
5,하남검단산,100
5,강동,
5,둔촌동,70
5,올림픽공원,110
5,방이,100
5,오금,80
5,개롱,80
5,거여,70
5,마천,80
